year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,4,15,1804,1804,0,2146,2145,1,B6,173,N657JB,JFK,SJC,375,2569,18,4,2013-04-15T22:00:00Z
2013,7,18,611,605,6,825,839,-14,B6,583,N608JB,JFK,MCO,121,944,6,5,2013-07-18T10:00:00Z
2013,1,2,647,645,2,849,916,-27,UA,320,N587UA,LGA,DEN,218,1620,6,45,2013-01-02T11:00:00Z
2013,5,14,657,700,-3,954,1034,-40,DL,1865,N722TW,JFK,SFO,322,2586,7,0,2013-05-14T11:00:00Z
2013,10,3,2055,2110,-15,2240,2306,-26,EV,4885,N608QX,LGA,ILM,73,500,21,10,2013-10-04T01:00:00Z
2013,10,8,1726,1600,86,1929,1828,61,9E,3540,N916XJ,JFK,MSP,152,1029,16,0,2013-10-08T20:00:00Z
2013,10,21,913,910,3,1239,1229,10,DL,874,N321NB,LGA,MIA,171,1096,9,10,2013-10-21T13:00:00Z
2013,8,5,856,901,-5,1205,1204,1,B6,63,N821JB,JFK,SEA,338,2422,9,1,2013-08-05T13:00:00Z
2013,5,25,944,945,-1,1153,1201,-8,EV,4909,N719EV,LGA,CLT,81,544,9,45,2013-05-25T13:00:00Z
2013,2,15,1923,1925,-2,2220,2229,-9,DL,1485,N962DL,LGA,MCO,150,950,19,25,2013-02-16T00:00:00Z
2013,9,1,1056,1100,-4,1347,1353,-6,DL,1443,N319US,LGA,MCO,122,950,11,0,2013-09-01T15:00:00Z
2013,4,13,1023,1030,-7,1208,1207,1,EV,4147,N14573,EWR,RDU,78,416,10,30,2013-04-13T14:00:00Z
2013,10,3,1444,1420,24,1633,1555,38,AA,337,N484AA,LGA,ORD,114,733,14,20,2013-10-03T18:00:00Z
2013,9,24,821,825,-4,1010,1022,-12,B6,219,N353JB,JFK,CLT,77,541,8,25,2013-09-24T12:00:00Z
2013,4,13,1829,1830,-1,1952,2010,-18,MQ,4674,N506MQ,LGA,CLE,70,419,18,30,2013-04-13T22:00:00Z
2013,8,12,1457,1500,-3,1707,1724,-17,EV,5199,N605QX,LGA,CHS,88,641,15,0,2013-08-12T19:00:00Z
2013,9,25,1510,1515,-5,1714,1711,3,EV,4326,N15983,EWR,CLT,91,529,15,15,2013-09-25T19:00:00Z
2013,7,10,1127,1030,57,1443,1345,58,VX,187,N527VA,EWR,SFO,354,2565,10,30,2013-07-10T14:00:00Z
2013,6,3,751,755,-4,1102,1045,17,B6,341,N768JB,JFK,SRQ,152,1041,7,55,2013-06-03T11:00:00Z
2013,11,29,1001,950,11,1126,1123,3,FL,160,N987AT,LGA,CAK,68,397,9,50,2013-11-29T14:00:00Z
2013,6,15,1450,1455,-5,1733,1801,-28,B6,377,N645JB,LGA,FLL,130,1076,14,55,2013-06-15T18:00:00Z
2013,12,22,1057,1015,42,1316,1231,45,EV,4567,N11192,EWR,MCI,179,1092,10,15,2013-12-22T15:00:00Z
2013,1,10,1857,1900,-3,2208,2238,-30,DL,87,N721TW,JFK,LAX,337,2475,19,0,2013-01-11T00:00:00Z
2013,4,2,821,829,-8,1014,1024,-10,MQ,4607,N3AEMQ,LGA,CMH,83,479,8,29,2013-04-02T12:00:00Z
2013,8,24,800,804,-4,1005,1017,-12,EV,4407,N14573,EWR,OMA,162,1134,8,4,2013-08-24T12:00:00Z
2013,3,30,1741,1630,71,1906,1850,16,EV,5505,N695CA,LGA,DTW,74,502,16,30,2013-03-30T20:00:00Z
2013,8,31,1855,1901,-6,2155,2213,-18,B6,201,N329JB,JFK,FLL,143,1069,19,1,2013-08-31T23:00:00Z
2013,10,28,1210,1210,0,1422,1425,-3,WN,482,N942WN,EWR,DEN,235,1605,12,10,2013-10-28T16:00:00Z
2013,11,26,1921,1910,11,2204,2209,-5,DL,2159,N905DL,JFK,MCO,141,944,19,10,2013-11-27T00:00:00Z
2013,9,24,1544,1545,-1,1949,1939,10,DL,4,N3740C,JFK,SJU,180,1598,15,45,2013-09-24T19:00:00Z
2013,5,21,1750,1730,20,2040,2039,1,B6,83,N634JB,JFK,SEA,306,2422,17,30,2013-05-21T21:00:00Z
2013,5,6,909,900,9,1139,1128,11,EV,4388,N12552,EWR,JAX,121,820,9,0,2013-05-06T13:00:00Z
2013,3,24,1155,1200,-5,1454,1500,-6,UA,371,N804UA,EWR,IAH,216,1400,12,0,2013-03-24T16:00:00Z
2013,11,26,1624,1630,-6,1942,2011,-29,US,629,N535UW,JFK,PHX,298,2153,16,30,2013-11-26T21:00:00Z
2013,12,24,1230,1145,45,1444,1406,38,DL,1567,N994AT,EWR,ATL,119,746,11,45,2013-12-24T16:00:00Z
2013,12,8,1152,1200,-8,1246,1309,-23,US,2146,N949UW,LGA,BOS,32,184,12,0,2013-12-08T17:00:00Z
2013,11,8,1726,1730,-4,1909,1914,-5,B6,1185,N339JB,JFK,RDU,74,427,17,30,2013-11-08T22:00:00Z
2013,1,20,1817,1829,-12,2016,2032,-16,US,1973,N124US,EWR,CLT,92,529,18,29,2013-01-20T23:00:00Z
2013,7,2,650,650,0,936,931,5,B6,525,N633JB,JFK,TPA,140,1005,6,50,2013-07-02T10:00:00Z
2013,9,6,1326,1300,26,1738,1554,NA,UA,1592,N41135,EWR,MCO,NA,937,13,0,2013-09-06T17:00:00Z
2013,9,1,1244,1250,-6,1429,1445,-16,DL,1131,N322NB,LGA,DTW,82,502,12,50,2013-09-01T16:00:00Z
2013,11,20,1053,1100,-7,1334,1352,-18,DL,695,N973DL,JFK,MCO,134,944,11,0,2013-11-20T16:00:00Z
2013,4,1,957,955,2,1216,1220,-4,MQ,4654,N524MQ,LGA,ATL,115,762,9,55,2013-04-01T13:00:00Z
2013,11,25,1624,1625,-1,1825,1822,3,9E,2943,N834AY,JFK,RDU,70,427,16,25,2013-11-25T21:00:00Z
2013,4,18,1525,1530,-5,1804,1834,-30,DL,1935,N330NW,LGA,TPA,136,1010,15,30,2013-04-18T19:00:00Z
2013,10,26,1423,1430,-7,1617,1632,-15,9E,3426,N928XJ,EWR,MSP,153,1008,14,30,2013-10-26T18:00:00Z
2013,7,7,649,651,-2,850,905,-15,UA,343,N513UA,LGA,DEN,209,1620,6,51,2013-07-07T10:00:00Z
2013,9,14,653,701,-8,1005,1002,3,DL,763,N711ZX,JFK,LAX,310,2475,7,1,2013-09-14T11:00:00Z
