country,region,subregion
AUSTRIA,EUROPE,EU 15 countries + EFTA
BELGIUM,EUROPE,EU 15 countries + EFTA
DENMARK,EUROPE,EU 15 countries + EFTA
FINLAND,EUROPE,EU 15 countries + EFTA
FRANCE,EUROPE,EU 15 countries + EFTA
GERMANY,EUROPE,EU 15 countries + EFTA
GREECE,EUROPE,EU 15 countries + EFTA
ICELAND,EUROPE,EU 15 countries + EFTA
IRELAND,EUROPE,EU 15 countries + EFTA
ITALY,EUROPE,EU 15 countries + EFTA
LUXEMBOURG,EUROPE,EU 15 countries + EFTA
NETHERLANDS,EUROPE,EU 15 countries + EFTA
NORWAY,EUROPE,EU 15 countries + EFTA
PORTUGAL,EUROPE,EU 15 countries + EFTA
SPAIN,EUROPE,EU 15 countries + EFTA
SWEDEN,EUROPE,EU 15 countries + EFTA
SWITZERLAND (+FL),EUROPE,EU 15 countries + EFTA
UNITED KINGDOM,EUROPE,EU 15 countries + EFTA
BULGARIA*,EUROPE,EU 28 countries + EFTA
CROATIA,EUROPE,EU 28 countries + EFTA
CYPRUS,EUROPE,EU 28 countries + EFTA
CZECH REPUBLIC,EUROPE,EU 28 countries + EFTA
ESTONIA,EUROPE,EU 28 countries + EFTA
HUNGARY,EUROPE,EU 28 countries + EFTA
LATVIA,EUROPE,EU 28 countries + EFTA
LITHUANIA,EUROPE,EU 28 countries + EFTA
MALTA,EUROPE,EU 28 countries + EFTA
POLAND,EUROPE,EU 28 countries + EFTA
ROMANIA,EUROPE,EU 28 countries + EFTA
SLOVAKIA,EUROPE,EU 28 countries + EFTA
SLOVENIA,EUROPE,EU 28 countries + EFTA
ALBANIA,EUROPE,"RUSSIA, TURKEY & OTHER EUROPE"
ARMENIA,EUROPE,"RUSSIA, TURKEY & OTHER EUROPE"
BELARUS,EUROPE,"RUSSIA, TURKEY & OTHER EUROPE"
BOSNIA,EUROPE,"RUSSIA, TURKEY & OTHER EUROPE"
GEORGIA,EUROPE,"RUSSIA, TURKEY & OTHER EUROPE"
MACEDONIA,EUROPE,"RUSSIA, TURKEY & OTHER EUROPE"
MOLDAVIA,EUROPE,"RUSSIA, TURKEY & OTHER EUROPE"
RUSSIA,EUROPE,"RUSSIA, TURKEY & OTHER EUROPE"
SERBIA,EUROPE,"RUSSIA, TURKEY & OTHER EUROPE"
TURKEY,EUROPE,"RUSSIA, TURKEY & OTHER EUROPE"
UKRAINE,EUROPE,"RUSSIA, TURKEY & OTHER EUROPE"
CANADA,AMERICA,NAFTA
MEXICO,AMERICA,NAFTA
UNITED STATES OF AMERICA,AMERICA,NAFTA
ARGENTINA,AMERICA,CENTRAL & SOUTH AMERICA
BAHAMAS,AMERICA,CENTRAL & SOUTH AMERICA
BELIZE,AMERICA,CENTRAL & SOUTH AMERICA
BOLIVIA,AMERICA,CENTRAL & SOUTH AMERICA
BRAZIL,AMERICA,CENTRAL & SOUTH AMERICA
CHILE,AMERICA,CENTRAL & SOUTH AMERICA
COLOMBIA,AMERICA,CENTRAL & SOUTH AMERICA
COSTA RICA,AMERICA,CENTRAL & SOUTH AMERICA
CUBA,AMERICA,CENTRAL & SOUTH AMERICA
DOMINICAN REPUBLIC,AMERICA,CENTRAL & SOUTH AMERICA
ECUADOR,AMERICA,CENTRAL & SOUTH AMERICA
EL SALVADOR,AMERICA,CENTRAL & SOUTH AMERICA
GUADELOUPE,AMERICA,CENTRAL & SOUTH AMERICA
GUATEMALA,AMERICA,CENTRAL & SOUTH AMERICA
GUIANA,AMERICA,CENTRAL & SOUTH AMERICA
HONDURAS,AMERICA,CENTRAL & SOUTH AMERICA
JAMAICA,AMERICA,CENTRAL & SOUTH AMERICA
MARTINIQUE,AMERICA,CENTRAL & SOUTH AMERICA
NICARAGUA,AMERICA,CENTRAL & SOUTH AMERICA
PANAMA,AMERICA,CENTRAL & SOUTH AMERICA
PARAGUAY,AMERICA,CENTRAL & SOUTH AMERICA
PERU,AMERICA,CENTRAL & SOUTH AMERICA
PUERTO RICO,AMERICA,CENTRAL & SOUTH AMERICA
TRINIDAD,AMERICA,CENTRAL & SOUTH AMERICA
URUGUAY,AMERICA,CENTRAL & SOUTH AMERICA
VENEZUELA,AMERICA,CENTRAL & SOUTH AMERICA
AUSTRALIA,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
AZERBAIDJAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
BAHRAIN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
BANGLADESH,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
BRUNEI,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
CAMBODGE,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
CHINA,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
HONG-KONG,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
INDIA,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
INDONESIA,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
IRAK,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
IRAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
ISRAEL,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
JAPAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
JORDAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
KAZAKHSTAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
KIRGHIZISTAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
KUWAIT,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
LAOS,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
LEBANON,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
MALAYSIA,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
MONGOLIA,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
MYANMAR,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
NEPAL,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
NEW CALEDONIA,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
NEW ZEALAND,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
OMAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
PAKISTAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
PALESTINE,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
PHILIPPINES,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
QATAR,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
SAUDI ARABIA,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
SINGAPORE,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
SOUTH KOREA,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
SRI LANKA,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
SYRIA,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
TADJIKISTAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
TAHITI,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
TAIWAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
THAILAND,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
TUKMENISTAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
UNITED ARAB EMIRATES,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
UZBEKISTAN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
VIETNAM,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
YEMEN,ASIA/OCEANIA/MIDDLE EAST,ASIA/OCEANIA/MIDDLE EAST
ALGERIA,AFRICA,AFRICA
ANGOLA,AFRICA,AFRICA
BOTSWANA,AFRICA,AFRICA
BURKINA,AFRICA,AFRICA
BURUNDI,AFRICA,AFRICA
CAMEROON,AFRICA,AFRICA
CONGO KINSHASA ,AFRICA,AFRICA
EGYPT,AFRICA,AFRICA
GABON,AFRICA,AFRICA
GHANA,AFRICA,AFRICA
IVORY COAST,AFRICA,AFRICA
KENYA,AFRICA,AFRICA
LIBERIA,AFRICA,AFRICA
LIBYA,AFRICA,AFRICA
MADAGASCAR,AFRICA,AFRICA
MALAWI,AFRICA,AFRICA
MAURITIUS,AFRICA,AFRICA
MOROCCO,AFRICA,AFRICA
NIGERIA,AFRICA,AFRICA
REUNION,AFRICA,AFRICA
SENEGAL,AFRICA,AFRICA
