year,DHS,DOC,DOD,DOE,DOT,EPA,HHS,Interior,NASA,NIH,NSF,Other,USDA,VA
1976,0,819,35696,10882,1142,968,9226,1152,12513,8025,2372,1191,1837,404
1977,0,837,37967,13741,1095,966,9507,1082,12553,8214,2395,1280,1796,374
1978,0,871,37022,15663,1156,1175,10533,1125,12516,8802,2446,1237,1962,356
1979,0,952,37174,15612,1004,1102,10127,1176,13079,9243,2404,2321,2054,353
1980,0,945,37005,15226,1048,903,10045,1082,13837,9093,2407,2468,1887,359
1981,0,829,41737,14798,978,901,9644,990,13276,8580,2300,1925,1964,382
1982,0,693,46893,12160,702,641,8860,866,10322,8314,2191,1626,1867,313
1983,0,700,51008,11129,800,501,9418,835,5893,8733,2282,1457,1907,347
1984,0,755,58139,11731,1018,518,10145,757,6231,9620,2597,1418,2032,410
1985,0,789,64416,12043,885,615,11083,783,7174,10606,2859,1116,2018,431
1986,0,778,68931,10911,746,637,11133,755,7343,10659,2757,1326,1890,365
1987,0,804,71541,10446,595,664,12847,786,8346,12335,2942,1474,2104,430
1988,0,764,71145,10863,587,698,13470,794,8746,12909,2962,1409,2085,368
1989,0,766,69231,11225,586,713,14291,861,10623,13550,3162,1469,2044,391
1990,0,784,65589,12103,613,735,14779,919,12317,14042,2994,1754,2119,378
1991,0,898,62238,12275,688,768,16001,1037,13589,15016,3167,1629,2327,375
1992,0,952,61682,13280,1014,804,16621,1050,13950,15714,3219,1999,2480,407
1993,0,1265,61956,11872,990,792,16702,1035,14058,15774,3211,1683,2339,403
1994,0,1595,55423,10568,1000,918,17674,1104,14680,16347,3500,1652,2385,432
1995,0,1709,54026,9806,1018,847,17602,1021,14457,16448,3662,1612,2273,402
1996,0,1488,53688,9412,902,724,18054,857,14152,17141,3588,1345,2232,395
1997,0,1421,54903,9167,902,877,19037,872,13788,18013,3574,1302,2295,867
1998,0,1589,54716,9250,859,928,20160,780,14201,19093,3642,1351,2274,855
1999,0,1559,55927,10019,873,962,22759,718,13975,21566,3840,1377,2366,926
2000,0,1654,56297,9800,855,786,25616,871,13376,24281,4129,1223,2502,909
2001,0,1417,58807,10640,989,789,28956,855,13604,27253,4569,1328,3001,989
2002,360,1661,67534,10938,1053,801,32518,844,13844,30755,4774,1388,2860,1024
2003,979,1591,78782,11232,929,753,36797,855,14191,35073,5217,1414,3112,1085
2004,1333,1452,85503,11296,862,858,36977,813,14007,35327,5346,1326,2881,1123
2005,1559,1410,88331,10835,888,806,36669,781,13347,35039,5157,1304,3040,933
2006,1583,1293,90443,10451,995,757,35276,779,13750,33780,5092,1325,2968,937
2007,1181,1271,93645,10709,909,660,35108,767,13727,33602,5262,1319,2696,971
2008,1155,1379,94247,11343,1016,636,33964,794,12985,33130,5233,1238,2708,1029
2009,1258,1594,93527,11823,1062,646,35649,805,10087,34150,5472,1323,2797,1082
2010,1009,1521,94325,12329,1221,679,36134,883,10538,34348,6135,1287,2971,1176
2011,848,1357,88220,11902,1064,649,34773,844,10147,33265,6127,1129,2637,1294
2012,527,1373,81543,11839,1007,622,34360,898,12391,32865,6248,1448,2553,1270
2013,737,1397,70583,11528,881,570,32095,846,11845,30522,5739,1846,2279,1253
2014,1092,1641,70341,12686,843,569,32438,889,12432,30938,6135,1697,2517,1165
2015,960,1596,69522,15033,926,544,31537,903,11927,30046,6260,1558,2565,1231
2016,602,1730,75213,15504,910,530,33121,1005,13713,31675,6222,1653,2745,1262
2017,735,1824,51862,15032,936,506,34758,955,12361,33052,6040,1553,2625,1367
