year,region,milk_production
1970,Appalachian,8202000000
1971,Appalachian,8216000000
1972,Appalachian,8389000000
1973,Appalachian,7900000000
1974,Appalachian,7858000000
1975,Appalachian,7953000000
1976,Appalachian,8292000000
1977,Appalachian,8434000000
1978,Appalachian,8109000000
1979,Appalachian,8163000000
1980,Appalachian,8415000000
1981,Appalachian,8600000000
1982,Appalachian,8784000000
1983,Appalachian,8810000000
1984,Appalachian,8243000000
1985,Appalachian,8689000000
1986,Appalachian,8769000000
1987,Appalachian,8468000000
1988,Appalachian,8333000000
1989,Appalachian,8106000000
1990,Appalachian,8073000000
1991,Appalachian,8026000000
1992,Appalachian,7980000000
1993,Appalachian,7785000000
1994,Appalachian,7488000000
1995,Appalachian,7384000000
1996,Appalachian,6855000000
1997,Appalachian,6852000000
1998,Appalachian,6581000000
1999,Appalachian,6432000000
2000,Appalachian,6454000000
2001,Appalachian,6283000000
2002,Appalachian,6200000000
2003,Appalachian,5661000000
2004,Appalachian,5508000000
2005,Appalachian,5459000000
2006,Appalachian,5267000000
2007,Appalachian,5118000000
2008,Appalachian,4957000000
2009,Appalachian,4883000000
2010,Appalachian,4744000000
2011,Appalachian,4680000000
2012,Appalachian,4746000000
2013,Appalachian,4664000000
2014,Appalachian,4627000000
2015,Appalachian,4716000000
2016,Appalachian,4565000000
2017,Appalachian,4549000000
1970,Corn Belt,17334000000
1971,Corn Belt,17308000000
1972,Corn Belt,17290000000
1973,Corn Belt,16441000000
1974,Corn Belt,16017000000
1975,Corn Belt,15648000000
1976,Corn Belt,16033000000
1977,Corn Belt,16166000000
1978,Corn Belt,15531000000
1979,Corn Belt,15403000000
1980,Corn Belt,15880000000
1981,Corn Belt,16204000000
1982,Corn Belt,16450000000
1983,Corn Belt,16961000000
1984,Corn Belt,16048000000
1985,Corn Belt,16877000000
1986,Corn Belt,16838000000
1987,Corn Belt,16752000000
1988,Corn Belt,16822000000
1989,Corn Belt,16591000000
1990,Corn Belt,16775000000
1991,Corn Belt,16550000000
1992,Corn Belt,16486000000
