competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
100 Grand,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.73199999,0.86000001,66.971725
3 Musketeers,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.60399997,0.51099998,67.602936
One dime,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.011,0.116,32.261086
One quarter,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.011,0.51099998,46.116505
Air Heads,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.90600002,0.51099998,52.341465
Almond Joy,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.465,0.76700002,50.347546
Baby Ruth,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.60399997,0.76700002,56.914547
Boston Baked Beans,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.31299999,0.51099998,23.417824
Candy Corn,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.90600002,0.32499999,38.010963
Caramel Apple Pops,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.60399997,0.32499999,34.517681
Charleston Chew,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.60399997,0.51099998,38.975037
Chewey Lemonhead Fruit Mix,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.73199999,0.51099998,36.017628
Chiclets,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.046,0.32499999,24.524988
Dots,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.73199999,0.51099998,42.272076
Dum Dums,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.73199999,0.034000002,39.460556
Fruit Chews,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.127,0.034000002,43.088924
Fun Dip,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.73199999,0.32499999,39.185505
Gobstopper,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.90600002,0.45300001,46.783348
Haribo Gold Bears,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.465,0.465,57.11974
Haribo Happy Cola,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.465,0.465,34.158958
Haribo Sour Bears,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.465,0.465,51.41243
Haribo Twin Snakes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.465,0.465,42.178772
Hershey's Kisses,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.127,0.093000002,55.375454
Hershey's Krackel,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.43000001,0.91799998,62.284481
Hershey's Milk Chocolate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.43000001,0.91799998,56.490501
Hershey's Special Dark,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.43000001,0.91799998,59.236122
Jawbusters,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.093000002,0.51099998,28.127439
Junior Mints,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.197,0.51099998,57.21925
