year,Afghanistan,Albania,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Ethiopia,Finland,France,Gabon,Gambia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Haiti,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Reunion,Romania,Rwanda,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovak Republic,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,United Kingdom,United States,Uruguay,Venezuela,Vietnam,West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1952,28.801,55.23,43.077,30.015,62.485,69.12,66.8,50.939,37.484,68,38.223,40.414,53.82,47.622,50.917,59.6,31.975,39.031,39.417,38.523,68.75,35.463,38.092,54.745,44,50.643,40.715,39.143,42.111,57.206,40.477,61.21,59.421,66.87,70.78,34.812,45.928,48.357,41.893,45.262,34.482,35.928,34.078,66.55,67.41,37.003,30,67.5,43.149,65.86,42.023,33.609,32.5,37.579,41.912,60.96,64.03,72.49,37.373,37.468,44.869,45.32,66.91,65.39,65.94,58.53,63.03,43.158,42.27,50.056,47.453,55.565,55.928,42.138,38.48,42.723,36.681,36.256,48.463,33.685,40.543,50.986,50.789,42.244,59.164,42.873,31.286,36.319,41.725,36.157,72.13,69.39,42.314,37.444,36.324,72.67,37.578,43.436,55.191,62.649,43.902,47.752,61.31,59.82,64.28,52.724,61.05,40,46.471,39.875,37.278,57.996,30.331,60.396,64.36,65.57,32.978,45.009,64.94,57.593,38.635,41.407,71.86,69.62,45.883,58.5,41.215,50.848,38.596,59.1,44.6,43.585,39.978,69.18,68.44,66.071,55.088,40.412,43.16,32.548,42.038,48.451
1957,30.332,59.28,45.685,31.999,64.399,70.33,67.48,53.832,39.348,69.24,40.358,41.89,58.45,49.618,53.285,66.61,34.906,40.533,41.366,40.428,69.96,37.464,39.881,56.074,50.54896,55.118,42.46,40.652,45.053,60.026,42.469,64.77,62.325,69.03,71.81,37.328,49.828,51.356,44.444,48.57,35.983,38.047,36.667,67.49,68.93,38.999,32.065,69.1,44.779,67.86,44.142,34.558,33.489,40.696,44.665,64.75,66.41,73.47,40.249,39.918,47.181,48.437,68.9,67.84,67.81,62.61,65.5,45.669,44.686,54.081,52.681,58.033,59.489,45.047,39.486,45.289,38.865,37.207,52.102,35.307,42.338,58.089,55.19,45.248,61.448,45.423,33.779,41.905,45.226,37.686,72.99,70.26,45.432,38.598,37.802,73.44,40.08,45.557,59.201,63.196,46.263,51.334,65.77,61.51,68.54,55.09,64.1,41.5,48.945,42.868,39.329,61.685,31.57,63.179,67.45,67.85,34.977,47.985,66.66,61.456,39.624,43.424,72.49,70.56,48.284,62.4,42.974,53.63,41.208,61.8,47.1,48.079,42.571,70.42,69.49,67.044,57.907,42.887,45.671,33.97,44.077,50.469
1962,31.997,64.82,48.303,34,65.142,70.93,69.54,56.923,41.216,70.25,42.618,43.428,61.93,51.52,55.665,69.51,37.814,42.045,43.415,42.643,71.3,39.475,41.716,57.924,44.50136,57.863,44.467,42.122,48.435,62.842,44.93,67.13,65.246,69.9,72.35,39.693,53.459,54.64,46.992,52.307,37.485,40.158,40.059,68.75,70.51,40.489,33.896,70.3,46.452,69.51,46.954,35.753,34.488,43.59,48.041,67.65,67.96,73.68,43.605,42.518,49.325,51.457,70.29,69.39,69.24,65.61,68.73,48.126,47.949,56.656,55.292,60.47,62.094,47.747,40.502,47.808,40.848,38.41,55.737,36.936,44.248,60.246,58.299,48.251,63.728,47.924,36.161,45.108,48.386,39.393,73.23,71.24,48.632,39.487,39.36,73.47,43.165,47.67,61.817,64.361,49.096,54.757,67.64,64.39,69.62,57.666,66.8,43,51.893,45.914,41.454,64.531,32.767,65.798,70.33,69.15,36.981,49.951,69.69,62.192,40.87,44.992,73.37,71.32,50.305,65.2,44.246,56.061,43.922,64.9,49.579,52.098,45.344,70.76,70.21,68.253,60.77,45.363,48.127,35.18,46.023,52.358
1967,34.02,66.22,51.407,35.985,65.634,71.1,70.14,59.923,43.453,70.94,44.885,45.032,64.79,53.298,57.632,70.42,40.697,43.548,45.415,44.799,72.13,41.478,43.601,60.523,58.38112,59.963,46.472,44.056,52.04,65.424,47.35,68.5,68.29,70.38,72.96,42.074,56.751,56.678,49.293,55.855,38.987,42.189,42.115,69.83,71.55,44.598,35.857,70.8,48.072,71,50.016,37.197,35.492,46.243,50.924,70,69.5,73.73,47.193,45.964,52.469,54.459,71.08,70.75,71.06,67.51,71.43,51.629,50.654,59.942,57.716,64.624,63.87,48.492,41.536,50.227,42.881,39.487,59.371,38.487,46.289,61.557,60.11,51.253,67.178,50.335,38.113,49.379,51.159,41.472,73.82,71.52,51.884,40.118,41.04,74.08,46.988,49.8,64.071,64.951,51.445,56.393,69.61,66.6,71.1,60.542,66.8,44.1,54.425,49.901,43.563,66.914,34.113,67.946,70.98,69.18,38.977,51.927,71.44,64.266,42.858,46.633,74.16,72.77,53.655,67.5,45.757,58.285,46.769,65.4,52.053,54.336,48.051,71.36,70.76,68.468,63.479,47.838,51.631,36.984,47.768,53.995
1972,36.088,67.69,54.518,37.928,67.065,71.93,70.63,63.3,45.252,71.44,47.014,46.714,67.45,56.024,59.504,70.9,43.591,44.057,40.317,47.049,72.88,43.457,45.569,63.441,63.11888,61.623,48.944,45.989,54.907,67.849,49.801,69.61,70.723,70.29,73.47,44.366,59.631,58.796,51.137,58.207,40.516,44.142,43.515,70.87,72.38,48.69,38.308,71,49.875,72.34,53.738,38.842,36.486,48.042,53.884,72,69.76,74.46,50.651,49.203,55.234,56.95,71.28,71.63,72.19,69,73.42,56.528,53.559,63.983,62.612,67.712,65.421,49.767,42.614,52.773,44.851,41.766,63.01,39.977,48.437,62.944,62.361,53.754,70.636,52.862,40.328,53.07,53.867,43.971,73.75,71.89,55.151,40.546,42.821,74.34,52.143,51.929,66.216,65.815,55.448,58.065,70.85,69.26,72.16,64.274,69.21,44.6,56.48,53.886,45.815,68.7,35.4,69.521,70.35,69.82,40.973,53.696,73.06,65.042,45.083,49.552,74.72,73.78,57.296,69.39,47.62,60.405,49.759,65.9,55.602,57.005,51.016,72.01,71.34,68.673,65.712,50.254,56.532,39.848,50.107,55.635
1977,38.438,68.93,58.014,39.483,68.481,73.49,72.17,65.593,46.923,72.8,49.19,50.023,69.86,59.319,61.489,70.81,46.137,45.91,31.22,49.355,74.21,46.775,47.383,67.052,63.96736,63.837,50.939,47.804,55.625,70.75,52.374,70.64,72.649,70.71,74.69,46.519,61.788,61.31,53.319,56.696,42.024,44.535,44.51,72.52,73.83,52.79,41.842,72.5,51.756,73.68,56.029,40.762,37.465,49.923,57.402,73.6,69.95,76.11,54.208,52.702,57.702,60.413,72.03,73.06,73.48,70.11,75.38,61.134,56.155,67.159,64.766,69.343,66.099,52.208,43.764,57.442,46.881,43.767,65.256,41.714,50.852,64.93,65.032,55.491,73.066,55.73,42.495,56.059,56.437,46.748,75.24,72.22,57.47,41.291,44.514,75.37,57.367,54.043,68.681,66.353,58.447,60.06,70.67,70.41,73.44,67.064,69.46,45,58.55,58.69,48.879,70.3,36.788,70.795,70.45,70.97,41.974,55.527,74.39,65.949,47.8,52.537,75.44,75.39,61.195,70.59,49.919,62.494,52.887,68.3,59.837,59.507,50.35,72.76,73.38,69.481,67.456,55.764,60.765,44.175,51.386,57.674
1982,39.854,70.42,61.368,39.942,69.942,74.74,73.18,69.052,50.009,73.93,50.904,53.859,70.69,61.484,63.336,71.08,48.122,47.471,50.957,52.961,75.76,48.295,49.517,70.565,65.525,66.653,52.933,47.784,56.695,73.45,53.983,70.46,73.717,70.96,74.63,48.812,63.727,64.342,56.006,56.604,43.662,43.89,44.916,74.55,74.89,56.564,45.58,73.8,53.744,75.24,58.137,42.891,39.327,51.461,60.909,75.45,69.39,76.99,56.596,56.159,59.62,62.038,73.1,74.45,74.98,71.21,77.11,63.739,58.766,69.1,67.123,71.309,66.983,55.078,44.852,62.155,48.969,45.642,68,43.916,53.599,66.711,67.405,57.489,74.101,59.65,42.795,58.056,58.968,49.594,76.05,73.84,59.298,42.598,45.826,75.97,62.728,56.158,70.472,66.874,61.406,62.082,71.32,72.77,73.75,69.885,69.66,46.218,60.351,63.012,52.379,70.162,38.445,71.76,70.8,71.063,42.955,58.161,76.3,68.757,50.338,55.561,76.42,76.21,64.59,72.16,50.608,64.597,55.471,68.832,64.048,61.036,49.849,74.04,74.65,70.805,68.557,58.816,64.406,49.113,51.821,60.363
1987,40.822,72,65.799,39.906,70.774,76.32,74.94,70.75,52.819,75.35,52.337,57.251,71.14,63.622,65.205,71.34,49.557,48.211,53.914,54.985,76.86,50.485,51.051,72.492,67.274,67.768,54.926,47.412,57.47,74.752,54.655,71.52,74.174,71.58,74.8,50.04,66.046,67.231,59.797,63.154,45.664,46.453,46.684,74.83,76.34,60.19,49.265,74.847,55.729,76.67,60.782,45.552,41.245,53.636,64.492,76.2,69.58,77.23,58.553,60.137,63.04,65.044,74.36,75.6,76.42,71.77,78.67,65.869,59.339,70.647,69.81,74.174,67.926,57.18,46.027,66.234,49.35,47.457,69.5,46.364,56.145,68.74,69.498,60.222,74.865,62.677,42.861,58.339,60.835,52.537,76.83,74.32,62.008,44.555,46.886,75.89,67.734,58.245,71.523,67.378,64.134,64.151,70.98,74.06,74.63,71.913,69.53,44.02,61.728,66.295,55.769,71.218,40.006,73.56,71.08,72.25,44.501,60.834,76.9,69.011,51.744,57.678,77.19,77.41,66.974,73.4,51.535,66.084,56.941,69.582,66.894,63.108,51.509,75.007,75.02,71.918,70.19,62.82,67.046,52.922,50.821,62.351
1992,41.674,71.581,67.744,40.647,71.868,77.56,76.04,72.601,56.018,76.46,53.919,59.957,72.178,62.745,67.057,71.19,50.26,44.736,55.803,54.314,77.95,49.396,51.724,74.126,68.69,68.421,57.939,45.548,56.433,75.713,52.044,72.527,74.414,72.4,75.33,51.604,68.457,69.613,63.674,66.798,47.545,49.991,48.091,75.7,77.46,61.366,52.644,76.07,57.501,77.03,63.373,48.576,43.266,55.089,66.399,77.601,69.17,78.77,60.223,62.681,65.742,59.461,75.467,76.93,77.44,71.766,79.36,68.015,59.285,69.978,72.244,75.19,69.292,59.685,40.802,68.755,52.214,49.42,70.693,48.388,58.333,69.745,71.455,61.271,75.435,65.393,44.284,59.32,61.999,55.727,77.42,76.33,65.843,47.391,47.472,77.32,71.197,60.838,72.462,68.225,66.458,66.458,70.99,74.86,73.911,73.615,69.36,23.599,62.742,68.768,58.196,71.659,38.333,75.788,71.38,73.64,39.658,61.888,77.57,70.379,53.556,58.474,78.16,78.03,69.249,74.26,50.44,67.298,58.061,69.862,70.001,66.146,48.825,76.42,76.09,72.752,71.15,67.662,69.718,55.599,46.1,60.377
1997,41.763,72.95,69.152,40.963,73.275,78.83,77.51,73.925,59.412,77.53,54.777,62.05,73.244,52.556,69.388,70.32,50.324,45.326,56.534,52.199,78.61,46.066,51.573,75.816,70.426,70.313,60.66,42.587,52.962,77.26,47.991,73.68,76.151,74.01,76.11,53.157,69.957,72.312,67.217,69.535,48.245,53.378,49.402,77.13,78.64,60.461,55.861,77.34,58.556,77.869,66.322,51.455,44.873,56.671,67.659,80,71.04,78.95,61.765,66.041,68.042,58.811,76.122,78.269,78.82,72.262,80.69,69.772,54.407,67.727,74.647,76.156,70.265,55.558,42.221,71.555,54.978,47.495,71.938,49.903,60.43,70.736,73.67,63.625,75.445,67.66,46.344,60.328,58.909,59.426,78.03,77.55,68.426,51.313,47.464,78.32,72.499,61.818,73.738,69.4,68.386,68.564,72.75,75.97,74.917,74.772,69.72,36.087,63.306,70.533,60.187,72.232,39.897,77.158,72.71,75.13,43.795,60.236,78.77,70.457,55.373,54.289,79.39,79.37,71.527,75.25,48.466,67.521,58.39,69.465,71.973,68.835,44.578,77.218,76.81,74.223,72.146,70.672,71.096,58.02,40.238,46.809
