order,category,label,rating,maxPoints,points,description
1,organization,Organization & Formatting,Excellent,5,5,All formatting guidelines are followed.
1,organization,Organization & Formatting,Good,5,4,Most formatting guidelines are followed.
1,organization,Organization & Formatting,Needs work,5,3 / 2,Several or all formatting guidelines not followed.
2,researchQuestion,Research Question,Excellent,5,5,"Research question is clear, focused, concise, complex, and arguable."
2,researchQuestion,Research Question,Good,5,4,"Research question is reasonably clear and focused, but may be too simple, too complex, or too verbose."
2,researchQuestion,Research Question,Needs work,5,3 / 2,Research question is unclear and lacks focus; question is far too simple or overly complex.
3,dataSources,Data Sources,Excellent,5,5,Data sources are clearly described with valid urls or citations used; validity of and concerns about data are discussed; data dictionaries included in appendix.
3,dataSources,Data Sources,Good,5,4,Some data sources are not clearly described or urls / citations are missnig; validity of and concerns about data are minimally discussed; data dictionaries are in appendix.
3,dataSources,Data Sources,Needs work,5,3 / 2,Data sources are poorly described or missing; description of validity of and concerns about data are poor or missing; no data dictionaries provided.
4,slideDesign,Slide Design,Excellent,15,15 / 14,Slides are well-designed and well-organized to effectively communicate a coherent story addressing research question.
4,slideDesign,Slide Design,Good,15,13 / 12,"Slides are largely well-designed and well-organized, but some include distracting or confusing elements; story is not fully coherent."
4,slideDesign,Slide Design,Needs work,15,11 / 10 / 9,Slides are poorly-designed and organized; frequent use of bullets and lots of text; story is poorly developed and / or does not address research question.
5,communication,Communication,Excellent,15,15 / 14,Engaging speaking; all team members participate; research question clearly addressed.
5,communication,Communication,Good,15,13 / 12,Speaking is somewhat engaging; all team members participate; research question clearly addressed.
5,communication,Communication,Needs work,15,11 / 10 / 9,Speaking is not engaging; not all team members participate; research question poorly addressed.
